X,Y,OBJECTID,ID,CD,NANOS,VZMPAT,VZMMPPT,PCDIFMMPT,DSFAIXADIF
-35.0389999999999,-7.99899999999997,262,262,39187800,,6.27,9.64,-35,"-49,9% a -25%"
-35.0629999999999,-8.27899999999994,263,263,39200000,,5.74,13.83,-58.48,"-74,9% a -50%"
-36.011,-8.30299999999994,264,264,39340000,,0.81,2.3,-64.66,"-74,9% a -50%"
-35.365,-8.28199999999993,265,265,39360000,,5.78,7.27,-20.5,"-24,9% a -5%"
-35.306,-8.63799999999998,266,266,39480000,,22.77,28.18,-19.19,"-24,9% a -5%"
-35.915,-8.49799999999993,267,267,39540000,,1.93,2.92,-33.85,"-49,9% a -25%"
-35.5769999999999,-8.67899999999997,268,268,39560000,,22.58,31.02,-27.23,"-49,9% a -25%"
-35.4469999999999,-8.84099999999995,269,269,39580000,,10.87,13.52,-19.6,"-24,9% a -5%"
-36.0359999999999,-9.15399999999994,270,270,39740000,,14.01,20.02,-29.99,"-49,9% a -25%"
-35.9499999999999,-9.31399999999996,271,271,39760000,,18.26,29.81,-38.75,"-49,9% a -25%"
-35.86,-9.46699999999993,272,272,39770000,,23.77,30.49,-22.04,"-24,9% a -5%"
-36.023,-9.50699999999995,273,273,39870000,,16.9,21.52,-21.46,"-24,9% a -5%"
-36.304,-10.0309999999999,274,274,39980000,,4.73,8.27,-42.79,"-49,9% a -25%"
-46.366,-20.328,275,275,40025000,,6.78,7.97,-14.98,"-24,9% a -5%"
-46.3029999999999,-20.151,276,276,40032000,,15.36,18.14,-15.32,"-24,9% a -5%"
-46.232,-20.216,277,277,40037000,,19.69,21.57,-8.73,"-24,9% a -5%"
-46.062,-20.095,278,278,40040000,,5.16,4.97,3.75,"-4,9% a 5%"
-45.716,-20.17,279,279,40050000,,99.05,111.93,-11.51,"-24,9% a -5%"
-45.66,-20.237,280,280,40053000,,3.04,3.97,-23.44,"-24,9% a -5%"
-46.0169999999999,-19.888,281,281,40060001,,9.91,11.88,-16.56,"-24,9% a -5%"
-45.479,-19.776,282,282,40070000,,159.06,190.54,-16.52,"-24,9% a -5%"
-45.275,-19.2809999999999,283,283,40100000,,165.83,230.69,-28.12,"-49,9% a -25%"
-44.794,-20.1809999999999,284,284,40150000,,23.81,35.8,-33.49,"-49,9% a -25%"
-44.9179999999999,-20.2169999999999,285,285,40170000,,8.86,13.93,-36.43,"-49,9% a -25%"
